date,site_bed,fisher_name,tow,lat_start,long_start,lat_end,long_end,depth_ft,direction,speed_kts,towing_time_min,lobster,depth_m,number_scallop
2018-05-01,cape tormentine,Todd O'Hanley,1,46.1798,-63.68936667,46.17693333,-63.68528333,78.4,129,3,5,4,23.9,115
2018-05-01,cape tormentine,Todd O'Hanley,2,46.17751667,-63.68698333,46.17916667,-63.68923333,75.9,318,2,5,,23.1,51
2018-05-01,cape tormentine,Todd O'Hanley,3,46.179,-63.68835,46.18078333,-63.691,82.6,320,2,5,1,25.2,117
2018-05-01,cape tormentine,Todd O'Hanley,4,46.18046667,-63.69025,46.1771,-63.6862,80.9,140,2,5,2,24.7,155
2018-05-01,cape tormentine,Todd O'Hanley,5,46.17905,-63.68658333,46.18153333,-63.68875,82,320,2.2,5,2,25.0,194
2018-05-01,cape tormentine,Todd O'Hanley,6,46.18135,-63.68698333,46.18373333,-63.68976667,78.8,309,2.1,6,0,24.0,335
2018-05-01,cape tormentine,Todd O'Hanley,7,46.1802,-63.68443333,46.18218333,-63.68758333,72.8,326,2,5,0,22.2,249
2018-05-01,cape tormentine,Todd O'Hanley,8,46.18268333,-63.68688333,46.18433333,-63.68958333,77.5,316,2,5,2,23.6,206
2018-05-01,cape tormentine,Todd O'Hanley,9,46.18141667,-63.68576667,46.18383333,-63.68818333,78.1,327,2,5,0,23.8,179
2018-05-01,cape tormentine,Todd O'Hanley,10,46.18351667,-63.68691667,46.18121667,-63.684,77.1,133,3,5,0,23.5,240
2018-05-01,cape tormentine,Todd O'Hanley,11,46.18268333,-63.68846667,46.17936667,-63.68576667,84.5,146,2,5,3,25.8,334
2018-05-01,cape tormentine,Todd O'Hanley,12,46.18263333,-63.68901667,46.17996667,-63.68581667,87.7,143,2,4,5,26.7,347
2018-05-01,cape tormentine,Todd O'Hanley,13,46.18325,-63.68875,46.18065,-63.68588333,86.8,155,2.1,5,0,26.5,212
2018-05-01,cape tormentine,Todd O'Hanley,14,46.18143333,-63.68591667,46.18641667,-63.69375,79.8,307,2.6,5,1,24.3,270
2018-05-01,cape tormentine,Todd O'Hanley,15,46.18478333,-63.6855,46.18238333,-63.68265,73.7,152,2,5,0,22.5,288
2018-05-01,cape tormentine,Todd O'Hanley,16,46.1793,-63.6825,46.18436667,-63.6895,70.5,312,2.5,5,1,21.5,192
2018-05-01,cape tormentine,Todd O'Hanley,17,46.18335,-63.68905,46.18045,-63.68605,86.4,155,2,5,0,26.3,280
